ds,layer,dataset,method,k,acc,std,f1,n
0,L5,Asm Succ/Fail,Full LogReg,1024,0.9088888888888889,0.014740554623801791,0.85367250992251,450
0,L5,Asm Succ/Fail,Full Ridge,1024,0.9377777777777778,0.011331154474650627,,450
0,L5,Asm Succ/Fail,PCA,5,0.8,0.0,0.4444444444444445,450
0,L5,Asm Succ/Fail,PCA,10,0.8,0.0,0.4444444444444445,450
0,L5,Asm Succ/Fail,PCA,20,0.7955555555555556,0.005443310539518209,0.47001592906155354,450
0,L5,Asm Succ/Fail,PCA,50,0.9044444444444444,0.020608041101101572,0.8532447132447134,450
0,L5,Asm Succ/Fail,PCA,100,0.8977777777777778,0.02036700308869263,0.8353581623149694,450
0,L5,Asm Succ/Fail,Random,5,0.8,0.0,,450
0,L5,Asm Succ/Fail,Random,10,0.796,0.007221367470787548,,450
0,L5,Asm Succ/Fail,Random,20,0.7933333333333333,0.01070363962559309,,450
0,L5,Asm Succ/Fail,Random,50,0.855111111111111,0.016653327995729158,,450
0,L5,Asm Succ/Fail,Random,100,0.8840000000000001,0.009469900334516623,,450
0,L5,Asm Succ/Fail,Conceptor,5,0.7866666666666666,0.014740554623801761,0.4679784447491948,450
0,L5,Asm Succ/Fail,Conceptor,10,0.8111111111111112,0.018592445034090584,0.5810913943132912,450
0,L5,Asm Succ/Fail,Conceptor,20,0.8222222222222222,0.015713484026367713,0.6539258837587099,450
0,L5,Asm Succ/Fail,Conceptor,50,0.9044444444444444,0.019372884193514118,0.8516512562023217,450
0,L5,Asm Succ/Fail,Conceptor,100,0.8955555555555555,0.01662958838566195,0.8380705909493177,450
0,L5,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.7977777777777778,0.01088662107903635,,450
0,L5,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8,0.0,,450
0,L11,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
0,L11,Task ID (4-way),PCA,5,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),PCA,10,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),PCA,20,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),Random,5,0.7576371308016878,0.06354917862519027,,1185
0,L11,Task ID (4-way),Random,10,0.9044725738396625,0.033165308502237215,,1185
0,L11,Task ID (4-way),Random,20,0.979409282700422,0.01571162075643817,,1185
0,L11,Task ID (4-way),Random,50,1.0,0.0,,1185
0,L11,Task ID (4-way),Random,100,1.0,0.0,,1185
0,L11,Task ID (4-way),Conceptor,5,0.9333333333333333,0.0041341599034315415,0.8745293703254134,1185
0,L11,Task ID (4-way),Conceptor,10,0.980590717299578,0.00430297005366481,0.963655115793814,1185
0,L11,Task ID (4-way),Conceptor,20,0.9932489451476794,0.004302970053664793,0.9871218703643827,1185
0,L11,Task ID (4-way),Conceptor,50,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
0,L11,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.7518987341772152,0.017170455653481707,,1185
0,L11,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.9628691983122362,0.011131566209513022,,1185
0,L11,Success/Fail (all),Full LogReg,1024,0.9679324894514767,0.017211880214659216,0.9639179149891948,1185
0,L11,Success/Fail (all),Full Ridge,1024,0.9780590717299578,0.01565167678564678,,1185
0,L11,Success/Fail (all),PCA,5,0.8987341772151899,0.021348709942065003,0.8848160307419418,1185
0,L11,Success/Fail (all),PCA,10,0.9046413502109705,0.0319785575046353,0.8915740474692117,1185
0,L11,Success/Fail (all),PCA,20,0.9130801687763714,0.029547917974703117,0.9011094110728411,1185
0,L11,Success/Fail (all),PCA,50,0.9198312236286921,0.02184334026252284,0.9073897860222075,1185
0,L11,Success/Fail (all),PCA,100,0.9662447257383965,0.011002873257726017,0.9619675110349236,1185
0,L11,Success/Fail (all),Random,5,0.768945147679325,0.02991391567085256,,1185
0,L11,Success/Fail (all),Random,10,0.8556962025316455,0.024545214467930784,,1185
0,L11,Success/Fail (all),Random,20,0.8845569620253164,0.015536596081505635,,1185
0,L11,Success/Fail (all),Random,50,0.9255696202531645,0.007649126881771893,,1185
0,L11,Success/Fail (all),Random,100,0.9427848101265821,0.004874102642428196,,1185
0,L11,Success/Fail (all),Conceptor,5,0.8565400843881857,0.020670799517157605,0.8346356617538774,1185
0,L11,Success/Fail (all),Conceptor,10,0.8978902953586498,0.025512601616592374,0.8804248450290846,1185
0,L11,Success/Fail (all),Conceptor,20,0.9139240506329115,0.023355869203541022,0.9008067130199157,1185
0,L11,Success/Fail (all),Conceptor,50,0.9569620253164557,0.01894510069252627,0.9511654011451084,1185
0,L11,Success/Fail (all),Conceptor,100,0.9679324894514767,0.014518692433827245,0.9639926063903523,1185
0,L11,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.8489451476793249,0.028914500757825826,,1185
0,L11,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.8582278481012657,0.033180764981160335,,1185
0,L11,Asm Succ/Fail,Full LogReg,1024,0.9244444444444445,0.008314794192830988,0.8794020302007152,450
0,L11,Asm Succ/Fail,Full Ridge,1024,0.9444444444444444,0.015713484026367713,,450
0,L11,Asm Succ/Fail,PCA,5,0.8222222222222222,0.03718489006818111,0.685961150570372,450
0,L11,Asm Succ/Fail,PCA,10,0.8111111111111111,0.042163702135578386,0.673871108316597,450
0,L11,Asm Succ/Fail,PCA,20,0.8266666666666665,0.03111111111111109,0.7122384002122274,450
0,L11,Asm Succ/Fail,PCA,50,0.9044444444444444,0.021773242158072685,0.8480273760481486,450
