ds,layer,dataset,method,k,acc,std,f1,n
9,L5,Task ID (4-way),Conceptor,20,0.9983122362869199,0.002067079951715737,0.9970621244043425,1185
9,L5,Task ID (4-way),Conceptor,50,1.0,0.0,1.0,1185
9,L5,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
9,L5,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.9544303797468354,0.0031575167820877114,,1185
9,L5,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.969620253164557,0.004920634510418003,,1185
9,L5,Success/Fail (all),Full LogReg,1024,0.959493670886076,0.015468609940779211,0.9541598471386233,1185
9,L5,Success/Fail (all),Full Ridge,1024,0.9780590717299578,0.01653663961372613,,1185
9,L5,Success/Fail (all),PCA,5,0.8970464135021098,0.020253164556962,0.885161400846331,1185
9,L5,Success/Fail (all),PCA,10,0.8928270042194093,0.020944596870870653,0.880268476117943,1185
9,L5,Success/Fail (all),PCA,20,0.8928270042194093,0.020773896413655984,0.8803295326888494,1185
9,L5,Success/Fail (all),PCA,50,0.9198312236286919,0.017701415158989875,0.9080699741432801,1185
9,L5,Success/Fail (all),PCA,100,0.9552742616033756,0.023355869203541,0.9494648133699639,1185
9,L5,Success/Fail (all),Random,5,0.871054852320675,0.028837555752290304,,1185
9,L5,Success/Fail (all),Random,10,0.891476793248945,0.0034423760429318534,,1185
9,L5,Success/Fail (all),Random,20,0.9037974683544304,0.005943229320391218,,1185
9,L5,Success/Fail (all),Random,50,0.9117299578059072,0.003758828261826169,,1185
9,L5,Success/Fail (all),Random,100,0.9211814345991561,0.0036433811215059652,,1185
9,L5,Success/Fail (all),Conceptor,5,0.8978902953586498,0.008181738155976937,0.8863469111257963,1185
9,L5,Success/Fail (all),Conceptor,10,0.9012658227848102,0.02025316455696201,0.8894920407775182,1185
9,L5,Success/Fail (all),Conceptor,20,0.9046413502109705,0.01614441052296117,0.8926452934993165,1185
9,L5,Success/Fail (all),Conceptor,50,0.9198312236286921,0.014616462511129793,0.9085194266186687,1185
9,L5,Success/Fail (all),Conceptor,100,0.9459915611814346,0.01968253804167187,0.938778836395246,1185
9,L5,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.8464135021097047,0.01898265296067845,,1185
9,L5,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.8953586497890296,0.014953624596345439,,1185
9,L5,Asm Succ/Fail,Full LogReg,1024,0.9133333333333334,0.010886621079036363,0.8590529889773857,450
9,L5,Asm Succ/Fail,Full Ridge,1024,0.9355555555555556,0.023726840560069577,,450
9,L5,Asm Succ/Fail,PCA,5,0.7977777777777778,0.02154524381073925,0.5916311678632962,450
9,L5,Asm Succ/Fail,PCA,10,0.8111111111111111,0.023306863292670045,0.6385021591111654,450
9,L5,Asm Succ/Fail,PCA,20,0.8244444444444443,0.034712220781807336,0.6867258555303668,450
9,L5,Asm Succ/Fail,PCA,50,0.8755555555555556,0.016329931618554526,0.8012955428646859,450
9,L5,Asm Succ/Fail,PCA,100,0.9044444444444444,0.018053418676968833,0.8453701634199765,450
9,L5,Asm Succ/Fail,Random,5,0.7973333333333334,0.005515410509329242,,450
9,L5,Asm Succ/Fail,Random,10,0.8004444444444445,0.006651835354264811,,450
9,L5,Asm Succ/Fail,Random,20,0.8168888888888887,0.020347596697350367,,450
9,L5,Asm Succ/Fail,Random,50,0.847111111111111,0.010648132045076421,,450
9,L5,Asm Succ/Fail,Random,100,0.8711111111111112,0.00831479419283098,,450
9,L5,Asm Succ/Fail,Conceptor,5,0.8177777777777777,0.016629588385661982,0.6717919038548821,450
9,L5,Asm Succ/Fail,Conceptor,10,0.8155555555555555,0.011331154474650627,0.6740570881246499,450
9,L5,Asm Succ/Fail,Conceptor,20,0.8244444444444443,0.021545243810739242,0.6821031489197239,450
9,L5,Asm Succ/Fail,Conceptor,50,0.8822222222222222,0.020608041101101572,0.8126115092291195,450
9,L5,Asm Succ/Fail,Conceptor,100,0.8977777777777778,0.008314794192830998,0.8398050784346399,450
9,L5,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.7933333333333333,0.01507184440694504,,450
9,L5,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8222222222222223,0.023306863292670038,,450
9,L11,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
9,L11,Task ID (4-way),PCA,5,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),PCA,10,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),PCA,20,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),Random,5,0.9481856540084388,0.03580923938666895,,1185
9,L11,Task ID (4-way),Random,10,0.9967932489451478,0.003220047937272435,,1185
9,L11,Task ID (4-way),Random,20,0.9996624472573841,0.0004134159903431365,,1185
9,L11,Task ID (4-way),Random,50,1.0,0.0,,1185
9,L11,Task ID (4-way),Random,100,1.0,0.0,,1185
9,L11,Task ID (4-way),Conceptor,5,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),Conceptor,10,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),Conceptor,20,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),Conceptor,50,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
9,L11,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.9291139240506329,0.016319898401530575,,1185
9,L11,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.9189873417721518,0.009397070654565442,,1185
9,L11,Success/Fail (all),Full LogReg,1024,0.9654008438818564,0.016961815394296854,0.9609027461835933,1185
9,L11,Success/Fail (all),Full Ridge,1024,0.9763713080168778,0.01657964785180468,,1185
9,L11,Success/Fail (all),PCA,5,0.8987341772151899,0.021514850268323997,0.8850324507028817,1185
9,L11,Success/Fail (all),PCA,10,0.9037974683544304,0.029523807062507845,0.8893646304216809,1185
9,L11,Success/Fail (all),PCA,20,0.9063291139240507,0.027911958495428234,0.8927842801456073,1185
9,L11,Success/Fail (all),PCA,50,0.9122362869198313,0.02903738486765445,0.8991416005025507,1185
9,L11,Success/Fail (all),PCA,100,0.9434599156118143,0.010196663268856166,0.9358455280913395,1185
9,L11,Success/Fail (all),Random,5,0.8759493670886075,0.021174541215273825,,1185
9,L11,Success/Fail (all),Random,10,0.9010970464135021,0.00466507171682205,,1185
9,L11,Success/Fail (all),Random,20,0.909029535864979,0.006071259324423613,,1185
9,L11,Success/Fail (all),Random,50,0.917637130801688,0.004966730453860608,,1185
9,L11,Success/Fail (all),Random,100,0.9348523206751054,0.004414074879534823,,1185
9,L11,Success/Fail (all),Conceptor,5,0.8987341772151899,0.025734937859876655,0.8835952694769938,1185
9,L11,Success/Fail (all),Conceptor,10,0.909704641350211,0.024399716953250557,0.8964157119595487,1185
9,L11,Success/Fail (all),Conceptor,20,0.9105485232067512,0.024076527624788378,0.8973406674313068,1185
9,L11,Success/Fail (all),Conceptor,50,0.9426160337552743,0.02007658608163765,0.9343566250409893,1185
9,L11,Success/Fail (all),Conceptor,100,0.950210970464135,0.017980823419968366,0.9430953964482971,1185
9,L11,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.820253164556962,0.016579647851804637,,1185
9,L11,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.6776371308016877,0.008688295477626186,,1185
9,L11,Asm Succ/Fail,Full LogReg,1024,0.9266666666666667,0.011331154474650622,0.8808892773693986,450
9,L11,Asm Succ/Fail,Full Ridge,1024,0.9444444444444444,0.015713484026367713,,450
9,L11,Asm Succ/Fail,PCA,5,0.8066666666666666,0.025915341754867992,0.6888788320240709,450
9,L11,Asm Succ/Fail,PCA,10,0.8022222222222222,0.030143688813890086,0.6771423884451528,450
9,L11,Asm Succ/Fail,PCA,20,0.8222222222222222,0.02810913475705227,0.7102452139459527,450
9,L11,Asm Succ/Fail,PCA,50,0.8933333333333333,0.015071844406945032,0.8304783925604766,450
9,L11,Asm Succ/Fail,PCA,100,0.9422222222222223,0.014740554623801761,0.9035459344095956,450
9,L11,Asm Succ/Fail,Random,5,0.796,0.009258962958222048,,450
9,L11,Asm Succ/Fail,Random,10,0.8235555555555555,0.018991876105974675,,450
9,L11,Asm Succ/Fail,Random,20,0.836,0.010554970744033667,,450
9,L11,Asm Succ/Fail,Random,50,0.8711111111111112,0.009635325950523927,,450
9,L11,Asm Succ/Fail,Random,100,0.9013333333333335,0.009797958971132725,,450
9,L11,Asm Succ/Fail,Conceptor,5,0.8088888888888889,0.029313124351717602,0.6963097243725916,450
9,L11,Asm Succ/Fail,Conceptor,10,0.8244444444444443,0.016329931618554516,0.7144540522482199,450
9,L11,Asm Succ/Fail,Conceptor,20,0.8288888888888888,0.01662958838566195,0.7211982987843564,450
9,L11,Asm Succ/Fail,Conceptor,50,0.9022222222222223,0.019116278371205834,0.8415996364752616,450
9,L11,Asm Succ/Fail,Conceptor,100,0.9422222222222223,0.012957670877434,0.9063695914217199,450
9,L11,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.8111111111111111,0.01571348402636773,,450
9,L11,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8133333333333332,0.004444444444444429,,450
9,L17,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
9,L17,Task ID (4-way),PCA,5,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),PCA,10,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),PCA,20,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),Random,5,0.9702953586497889,0.02733656250831892,,1185
9,L17,Task ID (4-way),Random,10,0.999493670886076,0.0006751054852320415,,1185
9,L17,Task ID (4-way),Random,20,1.0,0.0,,1185
9,L17,Task ID (4-way),Random,50,1.0,0.0,,1185
9,L17,Task ID (4-way),Random,100,1.0,0.0,,1185
9,L17,Task ID (4-way),Conceptor,5,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),Conceptor,10,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),Conceptor,20,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),Conceptor,50,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
9,L17,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.9603375527426161,0.009841269020835918,,1185
9,L17,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.9915611814345991,0.007060422164844512,,1185
9,L17,Success/Fail (all),Full LogReg,1024,0.9611814345991562,0.021908447233328552,0.9561678937746052,1185
9,L17,Success/Fail (all),Full Ridge,1024,0.9797468354430379,0.014953624596345475,,1185
9,L17,Success/Fail (all),PCA,5,0.9029535864978904,0.016450285814023594,0.8937385108403616,1185
9,L17,Success/Fail (all),PCA,10,0.9130801687763714,0.022893940871308936,0.9015977638364264,1185
9,L17,Success/Fail (all),PCA,20,0.909704641350211,0.027292762242694075,0.8959386582280263,1185
9,L17,Success/Fail (all),PCA,50,0.920675105485232,0.028292075298295735,0.907888785799382,1185
9,L17,Success/Fail (all),PCA,100,0.9383966244725739,0.014271337152141577,0.9297899349417482,1185
9,L17,Success/Fail (all),Random,5,0.8675105485232069,0.012753509189746855,,1185
9,L17,Success/Fail (all),Random,10,0.9021097046413502,0.005846585004451873,,1185
9,L17,Success/Fail (all),Random,20,0.9122362869198313,0.007452962756394771,,1185
9,L17,Success/Fail (all),Random,50,0.9245569620253166,0.004050632911392361,,1185
9,L17,Success/Fail (all),Random,100,0.9338396624472572,0.0038708337354193263,,1185
9,L17,Success/Fail (all),Conceptor,5,0.9080168776371309,0.015189873417721518,0.8945281906597937,1185
9,L17,Success/Fail (all),Conceptor,10,0.9139240506329113,0.02526013425670169,0.9011992317258442,1185
9,L17,Success/Fail (all),Conceptor,20,0.9139240506329115,0.02831723499672996,0.9012100109186878,1185
9,L17,Success/Fail (all),Conceptor,50,0.9308016877637131,0.018603719565441837,0.9208343973122368,1185
9,L17,Success/Fail (all),Conceptor,100,0.9518987341772152,0.021613921476566562,0.9451112189089219,1185
9,L17,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.8489451476793249,0.028292075298295707,,1185
9,L17,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.9037974683544304,0.015422503698309801,,1185
9,L17,Asm Succ/Fail,Full LogReg,1024,0.9111111111111111,0.025337231668869753,0.8574552991615372,450
9,L17,Asm Succ/Fail,Full Ridge,1024,0.9377777777777778,0.020608041101101572,,450
9,L17,Asm Succ/Fail,PCA,5,0.8288888888888888,0.03758118783397279,0.7183802824299497,450
9,L17,Asm Succ/Fail,PCA,10,0.8155555555555555,0.03758118783397279,0.6993164871336376,450
9,L17,Asm Succ/Fail,PCA,20,0.8422222222222221,0.02036700308869265,0.7391743033590114,450
9,L17,Asm Succ/Fail,PCA,50,0.8777777777777779,0.01859244503409057,0.8053597030382743,450
9,L17,Asm Succ/Fail,PCA,100,0.9222222222222222,0.028109134757052248,0.8670430314207451,450
9,L17,Asm Succ/Fail,Random,5,0.8106666666666668,0.025117993157235226,,450
9,L17,Asm Succ/Fail,Random,10,0.8355555555555554,0.01318435286594793,,450
9,L17,Asm Succ/Fail,Random,20,0.8502222222222222,0.014374188114485601,,450
9,L17,Asm Succ/Fail,Random,50,0.8866666666666667,0.010134892667547865,,450
9,L17,Asm Succ/Fail,Random,100,0.9,0.004444444444444451,,450
9,L17,Asm Succ/Fail,Conceptor,5,0.8688888888888888,0.042397297840753134,0.7870208481298544,450
9,L17,Asm Succ/Fail,Conceptor,10,0.8800000000000001,0.03095197394929803,0.7995352103712678,450
9,L17,Asm Succ/Fail,Conceptor,20,0.8911111111111112,0.03610683735393762,0.8225212458060673,450
9,L17,Asm Succ/Fail,Conceptor,50,0.888888888888889,0.02533723166886975,0.8248646291430465,450
9,L17,Asm Succ/Fail,Conceptor,100,0.928888888888889,0.0193728841935141,0.8835127530505202,450
9,L17,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.808888888888889,0.02036700308869265,,450
9,L17,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8466666666666665,0.024745619390355644,,450
